record_id,form_name,enquiry_id,submit_url,first_name,last_name,email
1,hlp,1242,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
2,nht,3424,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
3,kyc,3425,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
4,hlp,1532,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
5,nht,2353,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
6,kyc,2345,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
7,hlp,23253,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
8,nht,34324,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
9,kyc,3432425,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
10,hlp,13242,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
11,nht,34524,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
12,kyc,343425,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
13,hlp,12442,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
14,nht,34254,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
15,kyc,35425,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
16,hlp,12432,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
17,nht,343524,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
18,kyc,34325,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
19,hlp,12342,https://apply1.anz.com/enquiry,Mike,William,mike@gmail.com
20,nht,342354,https://apply1.anz.com/enquiry,John,Doe,john@gmail.com
21,kyc,34225,https://apply2.anz.com/rofEnquiry,Gob,Goodman,gob.outlook.com
